item_id,parent_id,name,level,highlight,is_parent
mua_ban_lai_tp_nh,no_ngan_han,Giao dịch mua bán lại trái phiếu Chính phủ,3,False,False
no_dai_han,no_phai_tra,Nợ dài hạn,2,True,True
tra_nguoi_ban_dh,no_dai_han,Phải trả người bán dài hạn,3,False,False
nguoi_mua_tra_tien_truoc_dh,no_dai_han,Người mua trả tiền trước dài hạn,3,False,False
thue_phai_nop_dh,no_dai_han,Thuế và các khoản phải nộp Nhà nước dài hạn,3,False,False
von_chu_so_huu,nguon_von,VỐN CHỦ SỞ HỮU,1,True,True
von_dau_tu_csh,von_chu_so_huu,Vốn đầu tư của chủ sở hữu,2,True,True
cp_pho_thong,von_dau_tu_csh,Cổ phiếu phổ thông có quyền biểu quyết,3,False,False
cp_uu_dai,von_dau_tu_csh,Cổ phiếu ưu đãi,3,False,False
thang_du_von,von_chu_so_huu,Thặng dư vốn,2,False,False
quyen_chon_tp,von_chu_so_huu,Quyền chọn chuyển đổi trái phiếu,2,False,False
von_khac_csh,von_chu_so_huu,Vốn khác của chủ sở hữu,2,False,False
cp_quy,von_chu_so_huu,Cổ phiếu mua lại của chính mình,2,False,False
chenh_lech_ts,von_chu_so_huu,Chênh lệch đánh giá lại tài sản,2,False,False
chenh_lech_ty_gia,von_chu_so_huu,Chênh lệch tỷ giá hối đoái,2,False,False
quy_dt_phat_trien,von_chu_so_huu,Quỹ đầu tư phát triển,2,False,False
quy_khac_csh,von_chu_so_huu,Quỹ khác thuộc vốn chủ sở hữu,2,False,False
ln_sau_thue_chua_pp,von_chu_so_huu,Lợi nhuận sau thuế chưa phân phối,2,True,True
ln_chua_pp_luy_ke,ln_sau_thue_chua_pp,LNST chưa phân phối lũy kế đến cuối kỳ trước,3,False,False
ln_chua_pp_ky_nay,ln_sau_thue_chua_pp,LNST chưa phân phối kỳ này,3,False,False
tong_nguon_von,,TỔNG CỘNG NGUỒN VỐN,0,True,False
